LOG 2025/03/22
Save Path: F:\Pari\PERSONAL-PROJECT\MyLibrary\DDownloader\DDownloader\bin\Logs
Task Start: 2025/03/22 03:13:21
Task CommandLine: F:\Pari\PERSONAL-PROJECT\MyLibrary\DDownloader\DDownloader\bin\N_m3u8DL-RE.exe https://vod-dash-pv.amazon.fastly-edge.com/3$0CiMIARIHCgVIPV4lJyAlMAFSBoDAAoHwA3oDgLgXggEBAYgBAxgB/1@628b50054c62cc8fc5da196e4da3cd15/iad_2/3e22/98c5/9af7/4a48-8cb8-0804de4e792d/66219c52-5233-40c0-a7be-2e6a5e8fe9bd_corrected.mpd?custom=true&encoding=segmentBase&amznDtid=AOAGZA014O5RE&encoding=segmentBase -mt -M format=mp4 --save-dir downloads --tmp-dir downloads --del-after-done --decryption-engine FFMPEG --decryption-binary-path F:\Pari\PERSONAL-PROJECT\MyLibrary\DDownloader\DDownloader\bin\ffmpeg.exe --save-name output --key d161512374ad4ed497475df50274ce1b:36ed938aba1d357d53ba493e89a5e370 -H "User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0" -H "DNT: 1" -H "Accept: */*" -H "Origin: https://www.primevideo.com" -H "Referer: https://www.primevideo.com/"

03:13:21.365 INFO : N_m3u8DL-RE (Beta version) 20241203
03:13:21.366 EXTRA: ffmpeg => F:\Pari\PERSONAL-PROJECT\MyLibrary\DDownloader\DDownloader\bin\ffmpeg.exe
03:13:21.367 EXTRA: User-Defined Header => user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0
03:13:21.367 EXTRA: User-Defined Header => dnt: 1
03:13:21.368 EXTRA: User-Defined Header => accept: */*
03:13:21.368 EXTRA: User-Defined Header => origin: https://www.primevideo.com
03:13:21.368 EXTRA: User-Defined Header => referer: https://www.primevideo.com/
03:13:21.369 INFO : Loading URL: https://vod-dash-pv.amazon.fastly-edge.com/3$0CiMIARIHCgVIPV4lJyAlMAFSBoDAAoHwA3oDgLgXggEBAYgBAxgB/1@628b50054c62cc8fc5da196e4da3cd15/iad_2/3e22/98c5/9af7/4a48-8cb8-0804de4e792d/66219c52-5233-40c0-a7be-2e6a5e8fe9bd_corrected.mpd?custom=true&encoding=segmentBase&amznDtid=AOAGZA014O5RE&encoding=segmentBase
03:13:21.452 INFO : Content Matched: Dynamic Adaptive Streaming over HTTP
03:13:21.453 INFO : Parsing streams...
03:13:21.473 WARN : Writing meta json
03:13:21.476 INFO : Extracted, there are 35 streams, with 11 basic streams, 24 audio streams, 0 subtitle streams
03:13:21.477 INFO : Vid *CENC 1280x720 | 3000 Kbps | video=3000000 | 23.976 | avc1.64001F | 2 Segments | Main | ~01h32m03s
03:13:21.477 INFO : Vid *CENC 1280x720 | 2000 Kbps | video=2000000 | 23.976 | avc1.64001F | 2 Segments | Main | ~01h32m03s
03:13:21.478 INFO : Vid *CENC 960x540 | 1500 Kbps | video=1500000 | 23.976 | avc1.4D401F | 2 Segments | Main | ~01h32m03s
03:13:21.478 INFO : Vid *CENC 960x540 | 1001 Kbps | video=1001000 | 23.976 | avc1.4D401F | 2 Segments | Main | ~01h32m03s
03:13:21.479 INFO : Vid 640x360 | 800 Kbps | video=800000 | 23.976 | avc1.4D401E | 1 Segment | Main | ~00m32s
03:13:21.480 INFO : Vid *CENC 704x396 | 800 Kbps | video=800000 | 23.976 | avc1.4D401E | 1 Segment | Main | ~01h31m31s
03:13:21.480 INFO : Vid 640x360 | 501 Kbps | video=501000 | 23.976 | avc1.4D401E | 1 Segment | Main | ~00m32s
03:13:21.481 INFO : Vid *CENC 704x396 | 501 Kbps | video=501000 | 23.976 | avc1.4D401E | 1 Segment | Main | ~01h31m31s
03:13:21.481 INFO : Vid *CENC 640x360 | 300 Kbps | video=300000 | 23.976 | avc1.4D401E | 2 Segments | Main | ~01h32m03s
03:13:21.482 INFO : Vid *CENC 512x288 | 150 Kbps | video=150000 | 23.976 | avc1.4D4016 | 2 Segments | Main | ~01h32m03s
03:13:21.483 INFO : Vid *CENC 400x224 | 100 Kbps | video=100000 | 23.976 | avc1.4D4016 | 2 Segments | Main | ~01h32m03s
03:13:21.483 INFO : Aud audio_ja-SG_2=128000 | 128 Kbps | mp4a.40.2 | ja | 2CH | 1 Segment | Main | ~00m32s
03:13:21.483 INFO : Aud *CENC audio_it-IT_3=128000 | 128 Kbps | mp4a.40.2 | it | 2CH | 1 Segment | Main | ~01h31m31s
03:13:21.484 INFO : Aud *CENC audio_fr-FR_3=128000 | 128 Kbps | mp4a.40.2 | fr | 2CH | 1 Segment | Main | ~01h31m31s
03:13:21.484 INFO : Aud *CENC audio_es-419_3=128000 | 128 Kbps | mp4a.40.2 | es | 2CH | 1 Segment | Main | ~01h31m31s
03:13:21.485 INFO : Aud *CENC audio_pt-BR_3=128000 | 128 Kbps | mp4a.40.2 | pt | 2CH | 1 Segment | Main | ~01h31m31s
03:13:21.486 INFO : Aud *CENC audio_en-US_3=128000 | 128 Kbps | mp4a.40.2 | en | 2CH | 1 Segment | Main | ~01h31m31s
03:13:21.487 INFO : Aud audio_ja-SG_1=64000 | 64 Kbps | mp4a.40.5 | ja | 2CH | 1 Segment | Main | ~00m32s
03:13:21.487 INFO : Aud *CENC audio_es-419_1=64000 | 64 Kbps | mp4a.40.5 | es | 2CH | 1 Segment | Main | ~01h31m31s
03:13:21.488 INFO : Aud *CENC audio_fr-FR_1=64000 | 64 Kbps | mp4a.40.5 | fr | 2CH | 1 Segment | Main | ~01h31m31s
