category,subcategory,uniformat code,uniformat description,url
Appliances,Commercial Ice Makers,D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/47/commercial-ice-makers/0?addon=False
Appliances,Commercial Industrial Process Refrigeration Systems,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/141/commercial-industrial-process-refrigeration-systems/0?addon=False
Appliances,Commercial Laboratory Grade Refrigerator and Freezer,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/1753/commercial-laboratory-grade-refrigerator-freezer/0?addon=False
Appliances,Commercial Retail Food Refrigeration,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/229/commercial-retail-food-refrigeration/0?addon=False
Appliances,Commercial Very Low Temperature Refrigeration Systems,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/263/commercial-low-temperature-refrigeration-systems/0?addon=False
Appliances,Residential Freezers,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/1358/residential-freezers/0?addon=False
Appliances,Residential Refrigerators,D309002,REFRIGERATION SYSTEMS,https://sftool.gov/greenprocurement/green-products/21/appliances/131/residential-refrigerators/0?addon=False
Construction and Building Supplies,Building Insulation,B201003,INSULATION & VAPOR RETARDER,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/22/building-insulation/0?addon=False
Construction and Building Supplies,Building Insulation,B301003,ROOF INSULATION & FILL,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/22/building-insulation/0?addon=False
Construction and Building Supplies,Photovoltaic Modules and Inverters ,D301005,SOLAR ENERGY SUPPLY SYSTEMS,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/1809/photovoltaic-modules-inverters/0?addon=False
Construction and Building Supplies,Photovoltaic Modules and Inverters ,D306002,ELECTRONIC CONTROLS,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/1809/photovoltaic-modules-inverters/0?addon=False
Construction and Building Supplies,Skylights,B202001,WINDOWS,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/1591/skylights/0?addon=False
Construction and Building Supplies,Skylights,B202004,EXTERIOR GLAZING,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/1591/skylights/0?addon=False
Construction and Building Supplies,Storm Windows,B202001,WINDOWS,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/1827/storm-windows/0?addon=False
Construction and Building Supplies,Storm Windows,B202004,EXTERIOR GLAZING,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/1827/storm-windows/0?addon=False
Construction and Building Supplies,Windows,B202001,WINDOWS,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/272/windows/0?addon=False
Construction and Building Supplies,Windows,B202004,EXTERIOR GLAZING,https://sftool.gov/greenprocurement/green-products/1/construction-building-supplies/272/windows/0?addon=False
HVAC and Mechanical,"Air Conditioning, Central",D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1322/air-conditioning-central/0?addon=False
HVAC and Mechanical,"Air Conditioning, Room",B202001,WINDOWS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/232/air-conditioning-room/0?addon=False
HVAC and Mechanical,"Air Conditioning, Room",B202004,EXTERIOR GLAZING,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/232/air-conditioning-room/0?addon=False
HVAC and Mechanical,"Air Conditioning, Room",D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/232/air-conditioning-room/0?addon=False
HVAC and Mechanical,"Air Conditioning, Room",D304001,"AIR DISTRIBUTION, HEATING & COOLING",https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/232/air-conditioning-room/0?addon=False
HVAC and Mechanical,Boilers,D302001,BOILERS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1321/boilers/0?addon=False
HVAC and Mechanical,Chillers,D303001,CHILLED WATER SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/34/chillers/0?addon=False
HVAC and Mechanical,Commercial Gas Water Heaters,D202003,DOMESTIC WATER EQUIPMENT,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/108/commercial-gas-water-heaters/0?addon=False
HVAC and Mechanical,Dehumidifiers,D304001,"AIR DISTRIBUTION, HEATING & COOLING",https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1245/dehumidifiers/0?addon=False
HVAC and Mechanical,Ductless Heating and Cooling,D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1597/ductless-heating-cooling/0?addon=False
HVAC and Mechanical,Furnaces,D304001,"AIR DISTRIBUTION, HEATING & COOLING",https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/107/furnaces/0?addon=False
HVAC and Mechanical,"Heat Pumps, Air-Source",D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/6/heat-pumps-air-source/0?addon=False
HVAC and Mechanical,"Heat Pumps, Geothermal or Ground-Source",D202003,DOMESTIC WATER EQUIPMENT,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/112/heat-pumps-geothermal-ground-source/0?addon=False
HVAC and Mechanical,"Heat Pumps, Geothermal or Ground-Source",D303002,DIRECT EXPANSION SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/112/heat-pumps-geothermal-ground-source/0?addon=False
HVAC and Mechanical,Residential Water Heaters,D202003,DOMESTIC WATER EQUIPMENT,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1378/residential-water-heaters/0?addon=False
HVAC and Mechanical,Residential Water Heaters,D301005,SOLAR ENERGY SUPPLY SYSTEMS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1378/residential-water-heaters/0?addon=False
HVAC and Mechanical,Smart Thermostats,D306001,HVAC CONTROLS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1754/smart-thermostats/0?addon=False
HVAC and Mechanical,Smart Thermostats,D306002,ELECTRONIC CONTROLS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1754/smart-thermostats/0?addon=False
HVAC and Mechanical,Smart Thermostats,D306003,PNEUMATIC CONTROLS,https://sftool.gov/greenprocurement/green-products/24/hvac-mechanical/1754/smart-thermostats/0?addon=False
Lighting and Electrical,Exterior Lighting,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-electrical/1408/exterior-lighting/0?addon=False
Lighting and Electrical,Exterior Lighting,G402001,EXTERIOR LIGHTING FIXTURES & CONTROLS,https://sftool.gov/greenprocurement/green-products/22/lighting-electrical/1408/exterior-lighting/0?addon=False
Lighting and Electrical,Light Fixtures,D502002,LIGHTING EQUIPMENT,https://sftool.gov/greenprocurement/green-products/22/lighting-electrical/151/light-fixtures/0?addon=False
Plumbing Systems and Fixtures,Bathroom Sink Faucets & Accessories (Residential),D202001,PIPES & FITTINGS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems-fixtures/11/bathroom-sink-faucets-accessories-residential/0?addon=False
Plumbing Systems and Fixtures,Showerheads,D202001,PIPES & FITTINGS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems-fixtures/239/showerheads/0?addon=False
Plumbing Systems and Fixtures,Toilets,D201001,WATERCLOSETS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems-fixtures/255/toilets/0?addon=False
Plumbing Systems and Fixtures,Urinals,D201001,WATERCLOSETS,https://sftool.gov/greenprocurement/green-products/23/plumbing-systems-fixtures/259/urinals/0?addon=False
