vw alph suppress sim_omgw exp_omgw exp_ubarf
0.24 0.05 0.3850650562736818 4.5815023776328163e-08 1.1897995684076176e-07 0.03864726770888846
0.24 0.073 0.28514878656840215 1.414673616304625e-07 4.961177051915211e-07 0.055226377101831356
0.24 0.11 0.16747574684273117 4.082945704064136e-07 2.437932525178254e-06 0.08222537742124374
0.24 0.16 0.06251951095741456 5.961573579754624e-07 9.535540967067667e-06 0.115634342544899
0.24 0.23 0.01403610222838923 4.6220694727011865e-07 3.292986469814e-05 0.15763325407816242
0.24 0.34 0.0019873470330139258 2.3063452848272236e-07 0.00011605146189941062 0.21676721812119432
0.44 0.005 0.8575402621351107 1.0209443239344906e-10 1.190549725784927e-10 0.006873646650408153
0.44 0.016 0.8382711134717666 9.095965294182577e-09 1.0850863340036748e-08 0.02123813587808994
0.44 0.05 0.7781098194901337 5.629116390042103e-07 7.234346937981907e-07 0.06068763220288242
0.44 0.073 0.7315234036707581 2.0545064754080025e-06 2.8085314360395895e-06 0.08518639285035877
0.44 0.11 0.6745019724590294 6.953935912116824e-06 1.0309733990495067e-05 0.1179131654893145
0.44 0.16 0.5437221572464288 2.033087484177911e-05 3.73920293128033e-05 0.16272156368584328
0.44 0.23 0.33617612751006276 4.2906528829652864e-05 0.00012763109964840838 0.22117642356041864
0.44 0.34 0.12605791420895116 5.227536018561597e-05 0.0004146932028318773 0.29694850754288304
0.44 0.5 0.0474260403336232 5.812319756162726e-05 0.001225554508720396 0.3913919851994154
0.56 0.05 0.6530152460977982 1.0891470497249158e-06 1.6678738455699099e-06 0.07478095522626196
0.56 0.073 0.6684722299508993 3.573883053754306e-06 5.346344834723823e-06 0.10006088298164642
0.56 0.11 0.6119277998961615 1.198572920080102e-05 1.9586835575757282e-05 0.13843344624827555
0.56 0.16 0.550975614902165 3.5509414434409244e-05 6.444825047423295e-05 0.18644577926228817
0.56 0.23 0.469807924080556 9.331587792656117e-05 0.00019862559387261568 0.2470348790824294
0.56 0.34 0.3429473529004093 0.00021233202034506396 0.0006191388227648004 0.3282435635317398
0.56 0.5 0.173949868703604 0.0003076836551454424 0.001768806481077083 0.4267458697286593
0.56 0.67 0.08210667816243643 0.00030313836805511443 0.0036920062391928477 0.5129390949542163
0.62 0.05 0.47056243906765766 1.1303441605257266e-06 2.4021130177013665e-06 0.08192162752259939
0.62 0.073 0.3878973287010972 3.1437421894816646e-06 8.104572929152971e-06 0.11102809170203917
0.62 0.11 0.38271565106905886 9.95874283698226e-06 2.6021258365483623e-05 0.1486217902788165
0.62 0.16 0.38047615112081606 3.145996359519079e-05 8.268577019220588e-05 0.1984303998878211
0.62 0.23 0.37186026980723824 8.461282822772797e-05 0.00022753930736292116 0.25557283138740794
0.62 0.34 0.33686746069926443 0.0002381537433546522 0.000706965709481991 0.33931285709007264
0.62 0.5 0.29711563680063496 0.0006121947315082083 0.0020604594833862344 0.44334547757591675
0.62 0.6 0.26993683929193873 0.0008644521009711154 0.0032024235863420034 0.495016332859194
0.62 0.67 0.1970164645755826 0.000853178979798082 0.004330495837675393 0.5338061927456347
0.72 0.05 0.15624173878263453 5.230167215104358e-07 3.3474840051419505e-06 0.08900818508054473
0.72 0.073 0.10800202731001986 1.5400982402578598e-06 1.4259901213122668e-05 0.12787317869518233
0.72 0.11 0.13374523495947627 5.987977816827043e-06 4.477152265380783e-05 0.17021617493147445
0.72 0.16 0.1487228537592122 1.746654030855748e-05 0.00011744355266902324 0.21662456374946443
0.72 0.23 0.17932587434601166 5.667290686341679e-05 0.00031603307146890394 0.27744933859700294
0.72 0.34 0.18058309629523087 0.00015801356129100042 0.0008750185622726721 0.3578947776458925
0.72 0.5 0.18594194639224546 0.00042742637570594016 0.0022987087314030913 0.4556411262249003
0.72 0.6 0.21715318958259597 0.000800364960498463 0.003685715885808059 0.5127228331253988
0.72 0.67 0.22745270210029633 0.00109210952353646 0.004801479663472581 0.5477673011407144
0.82 0.005 0.4836927110347162 4.8527852587135087e-11 1.0032785584741235e-10 0.00658575687538725
0.82 0.016 0.4728498641888614 4.291561311597415e-09 9.075949125964682e-09 0.02031062720070218
0.82 0.05 0.383976299177921 2.932522057518218e-07 7.637247569177157e-07 0.061515497503104206
0.82 0.073 0.3391813486374116 1.0825027503602906e-06 3.191516145298123e-06 0.08795278801556217
0.82 0.11 0.28360948485464255 4.080749843877601e-06 1.4388622601846672e-05 0.1281608144194275
0.82 0.16 0.22913275773295372 1.2495452426783144e-05 5.4533679734026337e-05 0.17882030056391865
0.82 0.23 0.14214505786102896 3.3507647124317494e-05 0.0002357285411714907 0.25784213431798825
0.82 0.34 0.12542856157851978 0.00011575030394208914 0.0009228384865884638 0.36268750448054754
0.82 0.5 0.13904362080059032 0.00033143119302490306 0.0023836490384569727 0.4597932265779463
0.82 0.6 0.1442844973895086 0.0005292383378194313 0.003668019415770678 0.5121064249718885
0.82 0.67 0.14302761122876456 0.000695188689622225 0.004860520871807822 0.549443575379802
0.92 0.005 0.5639864095548133 2.034005318826401e-11 3.606479312918121e-11 0.005099424150109932
0.92 0.016 0.5440605229128366 1.9349485488538968e-09 3.556495035689059e-09 0.01606962893248415
0.92 0.05 0.496565651817019 1.5034364112155824e-07 3.0276689612224493e-07 0.04881208751476664
0.92 0.073 0.4693852019571547 5.96416357440786e-07 1.2706330641740738e-06 0.06986430080072352
0.92 0.11 0.3983345457788065 2.3920779321768147e-06 6.0051982875347335e-06 0.10301062261929113
