PYC,PyCharm: базове використання
VAR,Змінні і об’єкти, принципи
NAMES,Імена змінних
STR,str: базові типи, рядки
BOOL,Bool: логічний тип
INTFLOAT,Int&float: числові типи даних
IF,If else: умовні оператори
WHILE,While: цикл з перевіркою умови
FOR,For: цикл для перебору
LIST,List: робота зі списками
TUPLE,Tuple: кортежі
DICT,Dicts: словники
SET,Set: множини
___________________________________
FN,Функції: створення і використання
FNPARAM,Functions param: робота з параметрами
FNSCOPE,Functions scopes: області видимості
DECOR,Декоратори: базові поняття
REAL,Приклади реальних декораторів
___________________________________
MOD,Модулі: підключення та використання
FL,Робота з файлами
___________________________________
CLASS,Класи і екземпляри
DUNDER,Dunder-методи: спеціальні методи
ITER,Ітератори: методи __iter__ та __next__
INHER,Наслідування в Python
EXCEPT,Виключення: обробка помилок
