head,SH,MV,BE,BB,SN,BY,BW,SL,RP,NW,HB,HH,ST,TH,HE,NI
SH,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MV,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BB,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
SN,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
BY,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
BW,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
SL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RP,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
NW,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ST,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
TH,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
HE,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1
NI,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0
